Screening ID,rayyan-key,doi,Status,Motivo para exclusão,Observações gerais do artigo,Quem,Outcomes
242,,,,,,Nathalia Fernandes,
243,,,,,,Nathalia Fernandes,
244,,,,,,Nathalia Fernandes,
245,,,,,,Nathalia Fernandes,
246,,,,,,Nathalia Fernandes,
247,,,,,,Nathalia Fernandes,
248,,,,,,Nathalia Fernandes,
249,,,,,,Nathalia Fernandes,
250,,,,,,Nathalia Fernandes,
251,,,,,,Nathalia Fernandes,
252,,,,,,Nathalia Fernandes,
253,,,,,,Nathalia Fernandes,
254,,,,,,Nathalia Fernandes,
255,,,,,,Nathalia Fernandes,
256,,,,,,Nathalia Fernandes,
257,,,,,,Nathalia Fernandes,
258,,,,,,Nathalia Fernandes,
259,,,,,,Nathalia Fernandes,
260,,,,,,Nathalia Fernandes,
261,,,,,,Nathalia Fernandes,
262,,,,,,Nathalia Fernandes,
263,,,,,,Nathalia Fernandes,
264,,,,,,Nathalia Fernandes,
265,,,,,,Nathalia Fernandes,
266,,,,,,Nathalia Fernandes,
267,,,,,,Nathalia Fernandes,
268,,,,,,Nathalia Fernandes,
269,,,,,,Nathalia Fernandes,
270,,,,,,Nathalia Fernandes,
271,,,,,,Nathalia Fernandes,
272,,,,,,Nathalia Fernandes,
273,,,,,,Nathalia Fernandes,
274,,,,,,Nathalia Fernandes,
275,,,,,,Nathalia Fernandes,
276,,,,,,Nathalia Fernandes,
277,,,,,,Nathalia Fernandes,
278,,,,,,Nathalia Fernandes,
279,,,,,,Nathalia Fernandes,
280,,,,,,Nathalia Fernandes,
281,,,,,,Nathalia Fernandes,
282,,,,,,Nathalia Fernandes,
283,,,,,,Nathalia Fernandes,
284,,,,,,Nathalia Fernandes,
285,,,,,,Nathalia Fernandes,
286,,,,,,Nathalia Fernandes,
287,,,,,,Nathalia Fernandes,
288,,,,,,Nathalia Fernandes,
289,,,,,,Nathalia Fernandes,
290,,,,,,Nathalia Fernandes,
291,,,,,,Nathalia Fernandes,
292,,,,,,Nathalia Fernandes,
293,,,,,,Nathalia Fernandes,
294,,,,,,Nathalia Fernandes,
295,,,,,,Nathalia Fernandes,
296,,,,,,Nathalia Fernandes,
297,,,,,,Nathalia Fernandes,
298,,,,,,Nathalia Fernandes,
299,,,,,,Nathalia Fernandes,
300,,,,,,Nathalia Fernandes,
301,,,,,,Nathalia Fernandes,
302,,,,,,Nathalia Fernandes,
303,,,,,,Nathalia Fernandes,
304,,,,,,Nathalia Fernandes,
305,,,,,,Nathalia Fernandes,
306,,,,,,Nathalia Fernandes,
307,,,,,,Nathalia Fernandes,
308,,,,,,Nathalia Fernandes,
309,,,,,,Nathalia Fernandes,
310,,,,,,Nathalia Fernandes,
311,,,,,,Nathalia Fernandes,
312,,,,,,Nathalia Fernandes,
313,,,,,,Nathalia Fernandes,
314,,,,,,Nathalia Fernandes,
315,,,,,,Nathalia Fernandes,
316,,,,,,Nathalia Fernandes,
317,,,,,,Nathalia Fernandes,
318,,,,,,Nathalia Fernandes,
319,,,,,,Nathalia Fernandes,
320,,,,,,Nathalia Fernandes,
321,,,,,,Nathalia Fernandes,
322,,,,,,Nathalia Fernandes,
323,,,,,,Nathalia Fernandes,
324,,,,,,Nathalia Fernandes,
325,,,,,,Nathalia Fernandes,
326,,,,,,Nathalia Fernandes,
327,,,,,,Nathalia Fernandes,
328,,,,,,Nathalia Fernandes,
329,,,,,,Nathalia Fernandes,
330,,,,,,Nathalia Fernandes,
331,,,,,,Nathalia Fernandes,
332,,,,,,Nathalia Fernandes,
333,,,,,,Nathalia Fernandes,
334,,,,,,Nathalia Fernandes,
335,,,,,,Nathalia Fernandes,
336,,,,,,Nathalia Fernandes,
337,,,,,,Nathalia Fernandes,
338,,,,,,Nathalia Fernandes,
339,,,,,,Nathalia Fernandes,
340,,,,,,Nathalia Fernandes,
341,,,,,,Nathalia Fernandes,
342,,,,,,Nathalia Fernandes,
343,,,,,,Nathalia Fernandes,
344,,,,,,Nathalia Fernandes,
345,,,,,,Nathalia Fernandes,
346,,,,,,Nathalia Fernandes,
347,,,,,,Nathalia Fernandes,
348,,,,,,Nathalia Fernandes,
349,,,,,,Nathalia Fernandes,
350,,,,,,Nathalia Fernandes,
351,,,,,,Nathalia Fernandes,
352,,,,,,Nathalia Fernandes,
353,,,,,,Nathalia Fernandes,
354,,,,,,Nathalia Fernandes,
355,,,,,,Nathalia Fernandes,
356,,,,,,Nathalia Fernandes,
357,,,,,,Nathalia Fernandes,
358,,,,,,Nathalia Fernandes,
359,,,,,,Nathalia Fernandes,
360,,,,,,Nathalia Fernandes,
361,,,,,,Nathalia Fernandes,
362,,,,,,Nathalia Fernandes,
363,,,,,,Nathalia Fernandes,
364,,,,,,Nathalia Fernandes,
365,,,,,,Nathalia Fernandes,
366,,,,,,Nathalia Fernandes,
367,,,,,,Nathalia Fernandes,
